행정구역,2020년11월_계_총인구수,2020년11월_계_연령구간인구수,2020년11월_계_0세,2020년11월_남_총인구수,2020년11월_남_연령구간인구수,2020년11월_남_0세,2020년11월_여_총인구수,2020년11월_여_연령구간인구수,2020년11월_여_0세
서울특별시 양천구 신정7동(1147068000),"29,961",125,125,"14,477",72,72,"15,484",53,53
서울특별시 강서구 (1150000000),"581,909","3,093","3,093","281,033","1,569","1,569","300,876","1,524","1,524"
서울특별시 강서구 염창동(1150051000),"42,019",313,313,"20,437",153,153,"21,582",160,160
서울특별시 강서구 등촌제1동(1150052000),"24,035",161,161,"11,271",78,78,"12,764",83,83
서울특별시 강서구 등촌제2동(1150053000),"21,244",103,103,"10,418",46,46,"10,826",57,57
서울특별시 강서구 등촌제3동(1150053500),"31,537",179,179,"15,025",98,98,"16,512",81,81
서울특별시 강서구 화곡제1동(1150054000),"52,489",302,302,"25,511",154,154,"26,978",148,148
서울특별시 강서구 화곡제2동(1150055000),"18,524",90,90,"9,023",44,44,"9,501",46,46
서울특별시 강서구 화곡제3동(1150056000),"21,849",87,87,"10,508",49,49,"11,341",38,38
서울특별시 강서구 화곡제4동(1150057000),"21,222",108,108,"10,403",48,48,"10,819",60,60
서울특별시 강서구 화곡본동(1150059000),"34,713",190,190,"16,949",108,108,"17,764",82,82
서울특별시 강서구 화곡제6동(1150059100),"24,995",98,98,"12,201",52,52,"12,794",46,46
서울특별시 강서구 화곡제8동(1150059300),"25,336",119,119,"12,191",62,62,"13,145",57,57
서울특별시 강서구 가양제1동(1150060300),"34,257",148,148,"15,819",65,65,"18,438",83,83
서울특별시 강서구 가양제2동(1150060400),"14,566",55,55,"6,908",26,26,"7,658",29,29
서울특별시 강서구 가양제3동(1150060500),"15,542",139,139,"7,281",82,82,"8,261",57,57
서울특별시 강서구 발산제1동(1150061100),"37,592",173,173,"17,836",88,88,"19,756",85,85
서울특별시 강서구 우장산동(1150061500),"43,895",171,171,"20,994",76,76,"22,901",95,95
서울특별시 강서구 공항동(1150062000),"26,972",192,192,"13,687",93,93,"13,285",99,99
서울특별시 강서구 방화제1동(1150063000),"44,532",243,243,"21,729",126,126,"22,803",117,117
서울특별시 강서구 방화제2동(1150064000),"23,093",101,101,"11,431",54,54,"11,662",47,47
서울특별시 강서구 방화제3동(1150064100),"23,497",121,121,"11,411",67,67,"12,086",54,54
서울특별시 구로구 (1153000000),"405,194","2,222","2,222","200,063","1,184","1,184","205,131","1,038","1,038"
서울특별시 구로구 신도림동(1153051000),"36,255",262,262,"17,698",131,131,"18,557",131,131
서울특별시 구로구 구로제1동(1153052000),"21,314",144,144,"10,453",72,72,"10,861",72,72
